iter	Passed	Remaining
0	2	5864
1	5	5519
2	8	5385
3	10	5184
4	12	5176
5	15	5086
6	17	5018
7	20	4983
8	22	5007
9	25	5084
10	28	5077
11	30	5066
12	33	5062
13	35	5065
14	38	5102
15	43	5404
16	47	5505
17	54	5987
18	59	6164
19	66	6538
20	72	6849
21	76	6835
22	78	6765
23	81	6713
24	85	6788
25	92	7032
26	95	7014
27	98	6970
28	101	6915
29	104	6870
30	107	6823
31	110	6772
32	112	6723
33	115	6673
34	118	6625
35	120	6582
36	123	6542
37	125	6501
38	128	6467
39	131	6433
40	133	6391
41	138	6452
42	140	6415
43	144	6401
44	146	6377
45	149	6360
46	153	6366
47	156	6358
48	159	6334
49	161	6306
50	164	6280
51	167	6269
52	169	6239
53	172	6214
54	175	6216
55	178	6189
56	180	6161
57	185	6214
58	188	6208
59	193	6253
60	196	6247
61	199	6232
62	204	6278
63	209	6331
64	212	6323
65	215	6307
66	222	6415
67	225	6406
68	228	6408
69	231	6391
70	235	6405
71	239	6414
72	242	6410
73	250	6527
74	254	6535
75	258	6535
76	262	6552
77	267	6600
78	273	6647
79	276	6634
80	280	6653
81	285	6667
82	288	6665
83	291	6647
84	295	6648
85	302	6727
86	308	6780
87	313	6811
88	317	6807
89	322	6846
90	327	6871
91	333	6911
92	337	6927
93	342	6948
94	347	6972
95	353	7004
96	360	7068
97	364	7081
98	369	7092
99	374	7122
100	379	7140
101	382	7125
102	385	7107
103	390	7119
104	394	7121
105	398	7122
106	400	7093
107	403	7075
108	407	7068
109	410	7047
110	412	7027
111	415	7009
112	418	6994
113	422	6983
114	425	6974
115	428	6957
116	431	6938
117	434	6922
118	436	6903
119	439	6884
120	443	6882
121	446	6868
122	451	6883
123	454	6870
124	456	6853
125	459	6838
126	462	6822
127	465	6805
128	469	6805
129	473	6812
130	478	6820
131	481	6807
132	483	6792
133	486	6774
134	488	6754
135	491	6740
136	496	6752
137	499	6737
138	502	6721
139	504	6703
140	507	6687
141	509	6672
142	512	6657
143	515	6642
144	517	6625
145	520	6613
146	523	6595
147	525	6576
148	528	6562
149	531	6549
150	533	6535
151	536	6522
152	539	6516
153	542	6501
154	545	6487
155	547	6475
156	550	6464
157	553	6450
158	555	6436
159	558	6423
160	561	6410
161	563	6398
162	566	6382
163	570	6383
164	572	6372
165	575	6359
166	578	6348
167	581	6339
168	584	6328
169	586	6318
170	589	6301
171	591	6290
172	594	6283
173	597	6272
174	600	6261
175	603	6252
176	606	6241
177	608	6231
178	612	6228
179	614	6218
180	617	6208
181	620	6199
182	623	6189
183	626	6181
184	631	6195
185	634	6185
186	637	6177
187	640	6168
188	643	6161
189	646	6159
190	651	6170
191	653	6153
192	656	6144
193	658	6134
194	661	6125
195	663	6109
196	666	6099
197	668	6082
198	670	6072
199	673	6063
200	676	6053
201	679	6045
202	681	6034
203	683	6018
204	686	6012
205	691	6021
206	696	6028
207	698	6020
208	701	6014
209	705	6010
210	707	6001
211	710	5990
212	713	5982
213	715	5974
214	718	5967
215	721	5959
216	724	5952
217	727	5944
218	731	5947
219	734	5939
220	736	5931
221	742	5944
222	744	5935
223	747	5929
224	750	5923
225	754	5919
226	757	5914
227	760	5907
228	762	5898
229	765	5891
230	768	5884
231	771	5876
232	774	5877
233	777	5868
234	780	5861
235	784	5861
236	786	5853
237	789	5846
238	792	5838
239	795	5830
240	797	5821
241	800	5815
242	803	5809
243	806	5801
244	808	5795
245	811	5788
246	814	5780
247	817	5774
248	820	5766
249	822	5759
250	825	5752
251	828	5743
252	830	5736
253	833	5729
254	836	5723
255	839	5718
256	842	5714
257	845	5706
258	847	5699
259	850	5692
260	853	5684
261	855	5677
262	858	5670
263	860	5661
264	863	5654
265	866	5647
266	870	5650
267	873	5646
268	876	5642
269	879	5635
270	882	5629
271	885	5627
272	888	5621
273	891	5614
274	893	5607
275	898	5611
276	901	5605
277	904	5601
278	907	5594
279	910	5591
280	914	5594
281	917	5589
282	920	5583
283	923	5577
284	925	5568
285	928	5561
286	930	5555
287	934	5553
288	936	5547
289	939	5542
290	942	5537
291	945	5531
292	948	5524
293	951	5519
294	953	5513
295	956	5507
296	959	5502
297	962	5495
298	964	5489
299	967	5482
300	970	5477
301	973	5475
302	976	5470
303	979	5463
304	982	5457
305	984	5452
306	987	5446
307	990	5442
308	993	5434
309	995	5429
310	1002	5442
311	1005	5438
312	1008	5433
313	1010	5426
314	1013	5420
315	1016	5415
316	1019	5411
317	1022	5405
318	1024	5398
319	1028	5401
320	1033	5403
321	1037	5404
322	1041	5407
323	1046	5414
324	1049	5409
325	1053	5408
326	1057	5410
327	1062	5416
328	1066	5419
329	1069	5413
330	1072	5407
331	1075	5401
332	1078	5397
333	1080	5391
334	1085	5396
335	1088	5391
336	1091	5384
337	1094	5379
338	1096	5373
339	1099	5366
340	1102	5362
341	1107	5367
342	1112	5373
343	1115	5368
344	1117	5363
345	1120	5358
346	1123	5353
347	1128	5356
348	1131	5351
349	1134	5346
350	1137	5341
351	1140	5338
352	1143	5337
353	1146	5331
354	1149	5327
355	1152	5321
356	1155	5316
357	1157	5310
358	1162	5313
359	1166	5312
360	1169	5308
361	1172	5303
362	1174	5297
363	1177	5292
364	1180	5287
365	1182	5281
366	1185	5275
367	1188	5270
368	1191	5265
369	1194	5260
370	1196	5254
371	1199	5248
372	1202	5243
373	1204	5237
374	1207	5232
375	1210	5227
376	1213	5225
377	1216	5220
378	1219	5215
379	1222	5210
380	1224	5204
381	1228	5204
382	1231	5199
383	1234	5194
384	1236	5188
385	1239	5183
386	1242	5177
387	1245	5173
388	1247	5168
389	1250	5162
390	1253	5157
391	1256	5152
392	1258	5147
393	1261	5142
394	1264	5137
395	1266	5131
396	1270	5128
397	1272	5123
398	1275	5118
399	1278	5113
400	1281	5108
401	1283	5103
