index,fold,equal_log_loss,equal_cal_log_loss,n
0,0,0.34237794932023746,0.341550191332437,350.0
1,1,0.33796494211111944,0.33734220614184746,350.0
2,2,0.34890460289731534,0.34864781827720615,350.0
3,3,0.3542199805109728,0.3545557215399882,350.0
4,4,0.3440232851774745,0.3433272821693428,350.0
5,5,0.35268483897797476,0.3526759243734451,350.0
6,6,0.34928403560774246,0.3489701186653487,350.0
7,7,0.3535850196247957,0.3546241391118068,350.0
8,8,0.3540297014954615,0.35417182519789203,350.0
9,9,0.35749380484676546,0.35795812646108,350.0
10,10,0.34420618338021125,0.34360441720051094,350.0
11,11,0.34796391213221534,0.3486753647606482,350.0
12,12,0.35208441031611903,0.3525840939267376,350.0
13,13,0.3447971181366303,0.34407860170735877,350.0
14,14,0.3475894593785998,0.34731034635873514,350.0
15,15,0.3528746971202014,0.35293834171677685,350.0
16,16,0.3522768663996763,0.3522723417581696,350.0
17,17,0.37837934987075944,0.38131990104166213,350.0
18,18,0.3484362611077382,0.34822536168790447,350.0
19,19,0.3144472102785372,0.31074309004891476,350.0
