variable,group,n,positives,prevalence,log_loss,brier
sex,Female,3543,439,0.12390629410104431,0.3441331693812621,0.10028172935464714
sex,Male,3457,442,0.12785652299681805,0.3535399206246522,0.10393250981885507
rurality,Rural,1243,194,0.15607401448109412,0.39407846684363695,0.1193572754268339
rurality,Semi-urban,1870,204,0.10909090909090909,0.3153776756726892,0.08998070953457901
rurality,Urban,3887,483,0.1242603550295858,0.350361599414115,0.10238431524622577
hospital_type,District,1285,159,0.12373540856031129,0.34025014370296924,0.09975477283076327
hospital_type,General,2623,320,0.12199771254288982,0.33922936590517266,0.09829529391588551
hospital_type,Teaching,3092,402,0.13001293661060803,0.36042408256457026,0.10626759848589853
age group,<40,945,42,0.044444444444444446,0.18143500834231688,0.0425416288749509
age group,40-59,2919,273,0.09352517985611511,0.3050244148248974,0.08356705750991618
age group,60-74,2105,325,0.1543942992874109,0.4070108151909891,0.12358708243997012
age group,75+,1031,241,0.23375363724539283,0.5071495722432955,0.16518716280590282
