patient_id,fold
TR00001,0
TR00002,13
TR00003,5
TR00004,6
TR00005,6
TR00006,11
TR00007,3
TR00008,10
TR00009,13
TR00010,3
TR00011,8
TR00012,15
TR00013,7
TR00014,19
TR00015,7
TR00016,14
TR00017,9
TR00018,12
TR00019,13
TR00020,12
TR00021,17
TR00022,19
TR00023,8
TR00024,8
TR00025,11
TR00026,14
TR00027,17
TR00028,14
TR00029,11
TR00030,16
TR00031,7
TR00032,10
TR00033,13
TR00034,6
TR00035,5
TR00036,14
TR00037,1
TR00038,9
TR00039,12
TR00040,8
TR00041,18
TR00042,4
TR00043,0
TR00044,19
TR00045,15
TR00046,17
TR00047,5
TR00048,0
TR00049,14
TR00050,10
TR00051,4
TR00052,11
TR00053,16
TR00054,11
TR00055,0
TR00056,14
TR00057,10
TR00058,14
TR00059,18
TR00060,11
TR00061,16
TR00062,13
TR00063,8
TR00064,16
TR00065,15
TR00066,15
TR00067,11
TR00068,16
TR00069,11
TR00070,19
TR00071,7
TR00072,9
TR00073,1
TR00074,11
TR00075,15
TR00076,6
TR00077,0
TR00078,5
TR00079,0
TR00080,8
TR00081,4
TR00082,11
TR00083,16
TR00084,12
TR00085,12
TR00086,7
TR00087,5
TR00088,13
TR00089,2
TR00090,7
TR00091,2
TR00092,4
TR00093,15
TR00094,17
TR00095,2
TR00096,12
TR00097,0
TR00098,10
TR00099,1
TR00100,7
TR00101,7
TR00102,19
TR00103,1
TR00104,17
TR00105,19
TR00106,2
TR00107,2
TR00108,12
TR00109,15
TR00110,4
TR00111,2
TR00112,0
TR00113,19
TR00114,15
TR00115,14
TR00116,5
TR00117,4
TR00118,15
TR00119,14
TR00120,19
TR00121,5
TR00122,19
TR00123,4
TR00124,14
TR00125,2
TR00126,16
TR00127,9
TR00128,10
TR00129,11
TR00130,8
TR00131,0
TR00132,16
TR00133,11
TR00134,7
TR00135,12
TR00136,6
TR00137,0
TR00138,15
TR00139,17
TR00140,2
TR00141,16
TR00142,8
TR00143,8
TR00144,19
TR00145,17
TR00146,0
TR00147,9
TR00148,8
TR00149,9
TR00150,8
TR00151,15
TR00152,10
TR00153,14
TR00154,12
TR00155,8
TR00156,19
TR00157,9
TR00158,9
TR00159,8
TR00160,12
TR00161,10
TR00162,11
TR00163,14
TR00164,0
TR00165,11
TR00166,7
TR00167,3
TR00168,7
TR00169,11
TR00170,10
TR00171,9
TR00172,17
TR00173,2
TR00174,0
TR00175,17
TR00176,7
TR00177,11
TR00178,4
TR00179,17
TR00180,5
TR00181,12
TR00182,3
TR00183,14
TR00184,5
TR00185,16
TR00186,2
TR00187,3
TR00188,8
TR00189,11
TR00190,19
TR00191,4
TR00192,4
TR00193,0
TR00194,19
TR00195,11
TR00196,8
TR00197,5
TR00198,10
TR00199,8
TR00200,2
TR00201,2
TR00202,16
TR00203,13
TR00204,7
TR00205,2
TR00206,17
TR00207,3
TR00208,18
TR00209,8
TR00210,15
TR00211,13
TR00212,3
TR00213,15
TR00214,16
TR00215,17
TR00216,14
TR00217,15
TR00218,7
TR00219,6
TR00220,2
TR00221,6
TR00222,4
TR00223,0
TR00224,8
TR00225,11
TR00226,0
TR00227,18
TR00228,11
TR00229,1
TR00230,6
TR00231,12
TR00232,18
TR00233,8
TR00234,4
TR00235,4
TR00236,17
TR00237,5
TR00238,8
TR00239,6
TR00240,11
TR00241,19
TR00242,12
TR00243,6
TR00244,12
TR00245,17
TR00246,14
TR00247,11
TR00248,3
TR00249,5
TR00250,12
TR00251,11
TR00252,9
TR00253,17
TR00254,4
TR00255,6
TR00256,5
TR00257,0
TR00258,8
TR00259,17
TR00260,11
TR00261,4
TR00262,3
TR00263,12
TR00264,16
TR00265,10
TR00266,18
TR00267,12
TR00268,9
TR00269,12
TR00270,14
TR00271,14
TR00272,1
TR00273,2
TR00274,19
TR00275,6
TR00276,0
TR00277,13
TR00278,11
TR00279,8
TR00280,0
TR00281,18
TR00282,12
TR00283,5
TR00284,8
TR00285,1
TR00286,1
TR00287,16
TR00288,4
TR00289,12
TR00290,3
TR00291,14
TR00292,5
TR00293,11
TR00294,12
TR00295,14
TR00296,19
TR00297,8
TR00298,15
TR00299,2
TR00300,11
TR00301,3
TR00302,5
TR00303,12
TR00304,14
TR00305,3
TR00306,5
TR00307,17
TR00308,18
TR00309,14
TR00310,17
TR00311,1
TR00312,8
TR00313,11
TR00314,0
TR00315,13
TR00316,2
TR00317,14
TR00318,1
TR00319,15
TR00320,17
TR00321,13
TR00322,14
TR00323,14
TR00324,1
TR00325,5
TR00326,2
TR00327,13
TR00328,18
TR00329,0
TR00330,10
TR00331,6
TR00332,9
TR00333,12
TR00334,7
TR00335,8
TR00336,8
TR00337,16
TR00338,2
TR00339,2
TR00340,12
TR00341,12
TR00342,0
TR00343,17
TR00344,3
TR00345,11
TR00346,11
TR00347,5
TR00348,4
TR00349,13
TR00350,17
TR00351,3
TR00352,11
TR00353,17
TR00354,13
TR00355,10
TR00356,15
TR00357,6
